x,y,jarvis_20m,elevation
-160.004236446548,-0.3552330252000856,-458.98699951171875,250-500 m
-160.00405673595432,-0.35523304486038454,-456.4010009765625,250-500 m
-160.0038770253507,-0.3552330645171662,-454.44000244140625,250-500 m
-160.00369731473714,-0.3552330841704308,-450.57598876953125,250-500 m
-160.00351760411363,-0.3552331038201783,-449.9779968261719,250-500 m
-160.00333789348016,-0.3552331234664086,-448.9419860839844,250-500 m
-160.00315818283678,-0.3552331431091218,-444.7449951171875,250-500 m
-160.00297847218346,-0.35523316274831784,-442.3819885253906,250-500 m
-160.0027987615202,-0.35523318238399676,-440.6000061035156,250-500 m
-160.002619050847,-0.35523320201615854,-439.5929870605469,250-500 m
-160.00243934016385,-0.35523322164480325,-443.0419921875,250-500 m
