x,y,elevation
-176.61992655800253,0.8373611635806382,250-500 m
-176.61956625323327,0.8373611635806382,250-500 m
-176.61920594846404,0.8373611635806382,250-500 m
-176.61884564369478,0.8373611635806382,250-500 m
-176.62100747231028,0.8370008588113871,250-500 m
-176.62064716754102,0.8370008588113871,250-500 m
-176.6202868627718,0.8370008588113871,250-500 m
-176.61992655800253,0.8370008588113871,250-500 m
-176.61956625323327,0.8370008588113871,250-500 m
-176.61920594846404,0.8370008588113871,250-500 m
-176.61884564369478,0.8370008588113871,250-500 m
-176.61848533892552,0.8370008588113871,250-500 m
-176.61812503415626,0.8370008588113871,250-500 m
-176.61776472938703,0.8370008588113871,250-500 m
-176.6217280818488,0.8366405540421361,250-500 m
-176.62136777707954,0.8366405540421361,250-500 m
-176.62100747231028,0.8366405540421361,250-500 m
-176.62064716754102,0.8366405540421361,250-500 m
-176.6202868627718,0.8366405540421361,250-500 m
-176.61992655800253,0.8366405540421361,250-500 m
-176.61956625323327,0.8366405540421361,250-500 m
-176.61920594846404,0.8366405540421361,250-500 m
-176.61884564369478,0.8366405540421361,250-500 m
-176.61848533892552,0.8366405540421361,250-500 m
-176.61812503415626,0.8366405540421361,250-500 m
-176.61776472938703,0.8366405540421361,250-500 m
-176.61740442461777,0.8366405540421361,250-500 m
-176.61704411984852,0.8366405540421361,250-500 m
-176.62280899615655,0.836280249272885,250-500 m
-176.6224486913873,0.836280249272885,250-500 m
-176.62208838661803,0.836280249272885,250-500 m
-176.6217280818488,0.836280249272885,250-500 m
-176.62136777707954,0.836280249272885,250-500 m
-176.62100747231028,0.836280249272885,250-500 m
-176.62064716754102,0.836280249272885,250-500 m
-176.6202868627718,0.836280249272885,250-500 m
-176.61992655800253,0.836280249272885,250-500 m
-176.61956625323327,0.836280249272885,250-500 m
-176.61920594846404,0.836280249272885,250-500 m
-176.61884564369478,0.836280249272885,250-500 m
-176.61848533892552,0.836280249272885,250-500 m
-176.61812503415626,0.836280249272885,250-500 m
-176.61776472938703,0.836280249272885,250-500 m
-176.61740442461777,0.836280249272885,250-500 m
-176.61704411984852,0.836280249272885,250-500 m
-176.61668381507928,0.836280249272885,250-500 m
-176.62352960569504,0.8359199445036339,250-500 m
-176.62316930092578,0.8359199445036339,250-500 m
-176.62280899615655,0.8359199445036339,250-500 m
-176.6224486913873,0.8359199445036339,250-500 m
-176.62208838661803,0.8359199445036339,250-500 m
-176.6217280818488,0.8359199445036339,250-500 m
-176.62136777707954,0.8359199445036339,250-500 m
-176.62100747231028,0.8359199445036339,250-500 m
-176.62064716754102,0.8359199445036339,250-500 m
-176.6202868627718,0.8359199445036339,250-500 m
-176.61992655800253,0.8359199445036339,250-500 m
-176.61956625323327,0.8359199445036339,250-500 m
-176.61920594846404,0.8359199445036339,250-500 m
-176.61884564369478,0.8359199445036339,250-500 m
-176.61848533892552,0.8359199445036339,250-500 m
-176.61812503415626,0.8359199445036339,250-500 m
-176.61776472938703,0.8359199445036339,250-500 m
-176.61740442461777,0.8359199445036339,250-500 m
-176.61704411984852,0.8359199445036339,250-500 m
-176.61668381507928,0.8359199445036339,250-500 m
-176.61632351031002,0.8359199445036339,250-500 m
-176.62425021523356,0.8355596397343829,250-500 m
-176.6238899104643,0.8355596397343829,250-500 m
-176.62352960569504,0.8355596397343829,250-500 m
-176.62316930092578,0.8355596397343829,250-500 m
-176.62280899615655,0.8355596397343829,250-500 m
-176.6224486913873,0.8355596397343829,250-500 m
-176.62208838661803,0.8355596397343829,250-500 m
-176.6217280818488,0.8355596397343829,250-500 m
-176.62136777707954,0.8355596397343829,250-500 m
-176.62100747231028,0.8355596397343829,250-500 m
-176.62064716754102,0.8355596397343829,250-500 m
-176.6202868627718,0.8355596397343829,250-500 m
-176.61992655800253,0.8355596397343829,250-500 m
-176.61956625323327,0.8355596397343829,250-500 m
-176.61920594846404,0.8355596397343829,250-500 m
-176.61884564369478,0.8355596397343829,250-500 m
-176.61848533892552,0.8355596397343829,250-500 m
-176.61812503415626,0.8355596397343829,250-500 m
-176.61776472938703,0.8355596397343829,250-500 m
-176.61740442461777,0.8355596397343829,250-500 m
-176.61704411984852,0.8355596397343829,250-500 m
-176.61668381507928,0.8355596397343829,250-500 m
-176.61632351031002,0.8355596397343829,250-500 m
-176.6246105200028,0.8351993349651318,250-500 m
-176.62425021523356,0.8351993349651318,250-500 m
-176.6238899104643,0.8351993349651318,250-500 m
-176.62352960569504,0.8351993349651318,250-500 m
-176.62316930092578,0.8351993349651318,250-500 m
-176.62280899615655,0.8351993349651318,250-500 m
-176.6224486913873,0.8351993349651318,250-500 m
-176.62208838661803,0.8351993349651318,250-500 m
-176.6217280818488,0.8351993349651318,250-500 m
-176.62136777707954,0.8351993349651318,250-500 m
-176.62100747231028,0.8351993349651318,250-500 m
-176.62064716754102,0.8351993349651318,250-500 m
-176.6202868627718,0.8351993349651318,250-500 m
-176.61992655800253,0.8351993349651318,250-500 m
