x,y,elevation
-176.48357047792322,0.21869496543420894,250-500 m
-176.48429162951646,0.2183343896375869,250-500 m
-176.48393105371983,0.2183343896375869,250-500 m
-176.48357047792322,0.2183343896375869,250-500 m
-176.4832099021266,0.2183343896375869,250-500 m
-176.48465220531307,0.21797381384096487,250-500 m
-176.48429162951646,0.21797381384096487,250-500 m
-176.48393105371983,0.21797381384096487,250-500 m
-176.48357047792322,0.21797381384096487,250-500 m
-176.4832099021266,0.21797381384096487,250-500 m
-176.48284932632995,0.21797381384096487,250-500 m
-176.48465220531307,0.21761323804434285,250-500 m
-176.48429162951646,0.21761323804434285,250-500 m
-176.48393105371983,0.21761323804434285,250-500 m
-176.48357047792322,0.21761323804434285,250-500 m
-176.4832099021266,0.21761323804434285,250-500 m
-176.48284932632995,0.21761323804434285,250-500 m
-176.48248875053335,0.21761323804434285,250-500 m
-176.48465220531307,0.21725266224772083,250-500 m
-176.48429162951646,0.21725266224772083,250-500 m
-176.48393105371983,0.21725266224772083,250-500 m
-176.48357047792322,0.21725266224772083,250-500 m
-176.4832099021266,0.21725266224772083,250-500 m
-176.48284932632995,0.21725266224772083,250-500 m
-176.48248875053335,0.21725266224772083,250-500 m
-176.48212817473672,0.21725266224772083,250-500 m
-176.4817675989401,0.21725266224772083,250-500 m
-176.48465220531307,0.2168920864510988,250-500 m
-176.48429162951646,0.2168920864510988,250-500 m
-176.48393105371983,0.2168920864510988,250-500 m
-176.48357047792322,0.2168920864510988,250-500 m
-176.4832099021266,0.2168920864510988,250-500 m
-176.48284932632995,0.2168920864510988,250-500 m
-176.48248875053335,0.2168920864510988,250-500 m
-176.48212817473672,0.2168920864510988,250-500 m
-176.4817675989401,0.2168920864510988,250-500 m
-176.48140702314348,0.2168920864510988,250-500 m
-176.48465220531307,0.21653151065447676,250-500 m
-176.48429162951646,0.21653151065447676,250-500 m
-176.48393105371983,0.21653151065447676,250-500 m
-176.48357047792322,0.21653151065447676,250-500 m
-176.4832099021266,0.21653151065447676,250-500 m
-176.48284932632995,0.21653151065447676,250-500 m
